STATION,NAME,DATE,AWND,CDSD,DSNW,EMNT,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,DSND,EMSD
USW00093026,"DOUGLAS BISBEE INTERNATIONAL AIRPORT, AZ US",2013-07,6.9,1126.0,0.0,64.0,0.0,1.57,101.0,0.0,10.13,0.0,79.1,91.2,67.0,40.0,30.0,47.0,59.0,,
USW00093026,"DOUGLAS BISBEE INTERNATIONAL AIRPORT, AZ US",2013-08,5.6,1507.0,0.0,60.0,0.0,0.93,98.0,0.0,3.86,0.0,77.3,90.1,64.4,260.0,260.0,42.9,64.0,,
USW00093026,"DOUGLAS BISBEE INTERNATIONAL AIRPORT, AZ US",2013-09,6.5,1773.0,,45.0,,1.1,96.0,0.0,2.16,,73.9,88.5,59.3,70.0,80.0,31.1,39.0,,
USW00093026,"DOUGLAS BISBEE INTERNATIONAL AIRPORT, AZ US",2013-10,7.2,1797.0,,29.0,,0.0,88.0,126.0,0.0,,61.7,81.2,42.2,240.0,240.0,35.1,41.0,,
USW00093026,"DOUGLAS BISBEE INTERNATIONAL AIRPORT, AZ US",2013-11,8.3,1797.0,,23.0,,0.42,82.0,461.0,0.52,,53.8,70.2,37.5,180.0,180.0,33.1,43.0,,
USW00093026,"DOUGLAS BISBEE INTERNATIONAL AIRPORT, AZ US",2013-12,6.7,1797.0,,17.0,,0.15,74.0,1113.0,0.3,,44.0,60.8,27.2,220.0,220.0,35.1,48.0,,
USW00093026,"DOUGLAS BISBEE INTERNATIONAL AIRPORT, AZ US",2014-01,5.6,0.0,,17.0,,0.0,76.0,1653.0,0.0,,47.6,67.7,27.5,220.0,230.0,31.1,41.0,,
USW00093026,"DOUGLAS BISBEE INTERNATIONAL AIRPORT, AZ US",2014-02,6.5,0.0,,22.0,,0.0,85.0,1996.0,0.0,,52.8,72.3,33.2,240.0,250.0,32.0,40.0,,
USW00093026,"DOUGLAS BISBEE INTERNATIONAL AIRPORT, AZ US",2014-03,8.7,0.0,,27.0,,0.34,83.0,2249.0,0.44,,56.8,74.4,39.3,220.0,230.0,40.0,53.0,,
USW00093026,"DOUGLAS BISBEE INTERNATIONAL AIRPORT, AZ US",2014-04,9.6,16.0,,29.0,,0.13,90.0,2375.0,0.18,,61.3,79.8,42.9,240.0,220.0,47.0,58.0,,
USW00093026,"DOUGLAS BISBEE INTERNATIONAL AIRPORT, AZ US",2014-05,10.1,159.0,,39.0,,0.0,100.0,2404.0,0.0,,68.7,87.1,50.2,230.0,220.0,36.9,47.0,,
USW00093026,"DOUGLAS BISBEE INTERNATIONAL AIRPORT, AZ US",2014-06,9.4,646.0,,56.0,,0.08,104.0,2404.0,0.08,,81.2,98.9,63.6,260.0,270.0,31.1,43.0,,
USW00093026,"DOUGLAS BISBEE INTERNATIONAL AIRPORT, AZ US",2014-07,7.2,1108.0,,62.0,,1.72,101.0,0.0,4.8,,79.9,93.5,66.3,50.0,140.0,44.1,56.0,,
USW00093026,"DOUGLAS BISBEE INTERNATIONAL AIRPORT, AZ US",2014-08,5.8,1423.0,,56.0,,0.79,96.0,0.0,4.0,,75.2,87.3,63.0,180.0,20.0,31.1,40.0,,
